pairing,mirror_group,mirror_side,game_seed,bot_p1,bot_p2,deck_p1,deck_p2,winner_index,winning_bot,winning_deck,turn_number,actions,status,reason
heuristic_vs_heuristic,25,B,1784019071,heuristic,heuristic,D002,D001,0,heuristic,D002,7,113,finished,
heuristic_vs_heuristic,26,A,628281828,heuristic,heuristic,D001,D002,0,heuristic,D001,11,227,finished,
heuristic_vs_heuristic,26,B,628281828,heuristic,heuristic,D002,D001,1,heuristic,D001,8,139,finished,
heuristic_vs_heuristic,27,A,749032328,heuristic,heuristic,D001,D002,1,heuristic,D002,11,177,finished,
heuristic_vs_heuristic,27,B,749032328,heuristic,heuristic,D002,D001,1,heuristic,D001,10,135,finished,
heuristic_vs_heuristic,28,A,130289263,heuristic,heuristic,D001,D002,1,heuristic,D002,11,172,finished,
heuristic_vs_heuristic,28,B,130289263,heuristic,heuristic,D002,D001,1,heuristic,D001,9,158,finished,
heuristic_vs_heuristic,29,A,190457773,heuristic,heuristic,D001,D002,1,heuristic,D002,8,147,finished,
heuristic_vs_heuristic,29,B,190457773,heuristic,heuristic,D002,D001,1,heuristic,D001,12,193,finished,
heuristic_vs_heuristic,30,A,1904887983,heuristic,heuristic,D001,D002,1,heuristic,D002,13,245,finished,
heuristic_vs_heuristic,30,B,1904887983,heuristic,heuristic,D002,D001,0,heuristic,D002,11,200,finished,
heuristic_vs_heuristic,31,A,464328244,heuristic,heuristic,D001,D002,0,heuristic,D001,8,136,finished,
heuristic_vs_heuristic,31,B,464328244,heuristic,heuristic,D002,D001,0,heuristic,D002,11,210,finished,
heuristic_vs_heuristic,32,A,40227074,heuristic,heuristic,D001,D002,1,heuristic,D002,11,187,finished,
heuristic_vs_heuristic,32,B,40227074,heuristic,heuristic,D002,D001,0,heuristic,D002,8,107,finished,
heuristic_vs_heuristic,33,A,804065757,heuristic,heuristic,D001,D002,0,heuristic,D001,11,185,finished,
heuristic_vs_heuristic,33,B,804065757,heuristic,heuristic,D002,D001,1,heuristic,D001,14,228,finished,
heuristic_vs_heuristic,34,A,1510528316,heuristic,heuristic,D001,D002,1,heuristic,D002,9,160,finished,
heuristic_vs_heuristic,34,B,1510528316,heuristic,heuristic,D002,D001,1,heuristic,D001,9,156,finished,
heuristic_vs_heuristic,35,A,1581000796,heuristic,heuristic,D001,D002,1,heuristic,D002,13,229,finished,
heuristic_vs_heuristic,35,B,1581000796,heuristic,heuristic,D002,D001,1,heuristic,D001,14,222,finished,
heuristic_vs_heuristic,36,A,1737664591,heuristic,heuristic,D001,D002,0,heuristic,D001,13,226,finished,
heuristic_vs_heuristic,36,B,1737664591,heuristic,heuristic,D002,D001,1,heuristic,D001,15,233,finished,
heuristic_vs_heuristic,37,A,324286726,heuristic,heuristic,D001,D002,1,heuristic,D002,11,188,finished,
heuristic_vs_heuristic,37,B,324286726,heuristic,heuristic,D002,D001,1,heuristic,D001,10,152,finished,
heuristic_vs_heuristic,38,A,1310660742,heuristic,heuristic,D001,D002,0,heuristic,D001,13,209,finished,
heuristic_vs_heuristic,38,B,1310660742,heuristic,heuristic,D002,D001,0,heuristic,D002,9,162,finished,
heuristic_vs_heuristic,39,A,351364796,heuristic,heuristic,D001,D002,1,heuristic,D002,10,170,finished,
heuristic_vs_heuristic,39,B,351364796,heuristic,heuristic,D002,D001,1,heuristic,D001,13,193,finished,
heuristic_vs_heuristic,40,A,1480699725,heuristic,heuristic,D001,D002,0,heuristic,D001,7,110,finished,
heuristic_vs_heuristic,40,B,1480699725,heuristic,heuristic,D002,D001,0,heuristic,D002,13,255,finished,
heuristic_vs_heuristic,41,A,248347470,heuristic,heuristic,D001,D002,1,heuristic,D002,10,184,finished,
heuristic_vs_heuristic,41,B,248347470,heuristic,heuristic,D002,D001,1,heuristic,D001,11,178,finished,
heuristic_vs_heuristic,42,A,1140042545,heuristic,heuristic,D001,D002,1,heuristic,D002,12,252,finished,
heuristic_vs_heuristic,42,B,1140042545,heuristic,heuristic,D002,D001,0,heuristic,D002,7,90,finished,
heuristic_vs_heuristic,43,A,12890972,heuristic,heuristic,D001,D002,0,heuristic,D001,11,168,finished,
heuristic_vs_heuristic,43,B,12890972,heuristic,heuristic,D002,D001,0,heuristic,D002,9,131,finished,
heuristic_vs_heuristic,44,A,744391270,heuristic,heuristic,D001,D002,0,heuristic,D001,11,162,finished,
heuristic_vs_heuristic,44,B,744391270,heuristic,heuristic,D002,D001,0,heuristic,D002,6,97,finished,
heuristic_vs_heuristic,45,A,158853925,heuristic,heuristic,D001,D002,0,heuristic,D001,12,178,finished,
heuristic_vs_heuristic,45,B,158853925,heuristic,heuristic,D002,D001,0,heuristic,D002,7,103,finished,
heuristic_vs_heuristic,46,A,166646400,heuristic,heuristic,D001,D002,0,heuristic,D001,12,174,finished,
heuristic_vs_heuristic,46,B,166646400,heuristic,heuristic,D002,D001,0,heuristic,D002,11,179,finished,
heuristic_vs_heuristic,47,A,1186254220,heuristic,heuristic,D001,D002,0,heuristic,D001,10,158,finished,
heuristic_vs_heuristic,47,B,1186254220,heuristic,heuristic,D002,D001,1,heuristic,D001,10,186,finished,
heuristic_vs_heuristic,48,A,1561419820,heuristic,heuristic,D001,D002,1,heuristic,D002,10,188,finished,
heuristic_vs_heuristic,48,B,1561419820,heuristic,heuristic,D002,D001,0,heuristic,D002,12,183,finished,
