metric,D001,D002,D001_minus_D002
avg_unit_count,1.7216557311773972,2.124920534011443,-0.40326480283404575
avg_board_attack,4.915620726070322,3.8366179275270182,1.0790027985433035
avg_board_health,5.778075930959265,6.135480680935227,-0.35740474997596205
avg_survival_conversion,0.4125148150251374,0.4280865768048611,-0.015571761779723692
avg_unit_count_t1_3,0.7197090909090909,1.012598310515584,-0.29288921960649317
avg_board_attack_t1_3,1.133890909090909,1.2148995048062918,-0.08100859571538277
avg_board_health_t1_3,1.490690909090909,1.8009030002912905,-0.3102120912003814
