pairing,mirror_group,mirror_side,game_seed,bot_p1,bot_p2,deck_p1,deck_p2,winner_index,winning_bot,winning_deck,turn_number,actions,status,reason
random_vs_random,34,B,118486839,random,random,D002,D001,1,random,D001,16,212,finished,
random_vs_random,35,A,2048554714,random,random,D001,D002,0,random,D001,10,127,finished,
random_vs_random,35,B,2048554714,random,random,D002,D001,1,random,D001,13,144,finished,
random_vs_random,36,A,547720634,random,random,D001,D002,0,random,D001,11,138,finished,
random_vs_random,36,B,547720634,random,random,D002,D001,1,random,D001,12,148,finished,
random_vs_random,37,A,1688469904,random,random,D001,D002,0,random,D001,14,164,finished,
random_vs_random,37,B,1688469904,random,random,D002,D001,1,random,D001,13,179,finished,
random_vs_random,38,A,1340502432,random,random,D001,D002,0,random,D001,13,177,finished,
random_vs_random,38,B,1340502432,random,random,D002,D001,1,random,D001,13,163,finished,
random_vs_random,39,A,1580028894,random,random,D001,D002,0,random,D001,13,161,finished,
random_vs_random,39,B,1580028894,random,random,D002,D001,1,random,D001,14,161,finished,
random_vs_random,40,A,1188497719,random,random,D001,D002,1,random,D002,12,162,finished,
random_vs_random,40,B,1188497719,random,random,D002,D001,1,random,D001,12,143,finished,
random_vs_random,41,A,1249739180,random,random,D001,D002,0,random,D001,9,138,finished,
random_vs_random,41,B,1249739180,random,random,D002,D001,1,random,D001,14,150,finished,
random_vs_random,42,A,897977538,random,random,D001,D002,0,random,D001,12,123,finished,
random_vs_random,42,B,897977538,random,random,D002,D001,0,random,D002,8,107,finished,
random_vs_random,43,A,1382515223,random,random,D001,D002,0,random,D001,12,163,finished,
random_vs_random,43,B,1382515223,random,random,D002,D001,1,random,D001,13,127,finished,
random_vs_random,44,A,1660637204,random,random,D001,D002,0,random,D001,13,160,finished,
random_vs_random,44,B,1660637204,random,random,D002,D001,0,random,D002,11,140,finished,
random_vs_random,45,A,1412750951,random,random,D001,D002,0,random,D001,13,185,finished,
random_vs_random,45,B,1412750951,random,random,D002,D001,1,random,D001,15,186,finished,
random_vs_random,46,A,1603384850,random,random,D001,D002,0,random,D001,12,160,finished,
random_vs_random,46,B,1603384850,random,random,D002,D001,1,random,D001,14,189,finished,
random_vs_random,47,A,1642878677,random,random,D001,D002,0,random,D001,11,142,finished,
random_vs_random,47,B,1642878677,random,random,D002,D001,1,random,D001,11,134,finished,
random_vs_random,48,A,2118527069,random,random,D001,D002,0,random,D001,10,123,finished,
random_vs_random,48,B,2118527069,random,random,D002,D001,1,random,D001,12,172,finished,
random_vs_random,49,A,1831302341,random,random,D001,D002,0,random,D001,13,159,finished,
random_vs_random,49,B,1831302341,random,random,D002,D001,1,random,D001,14,177,finished,
random_vs_random,50,A,1749460447,random,random,D001,D002,0,random,D001,11,119,finished,
random_vs_random,50,B,1749460447,random,random,D002,D001,1,random,D001,16,221,finished,
heuristic_vs_random,1,A,740846292,heuristic,random,D001,D002,0,heuristic,D001,7,85,finished,
heuristic_vs_random,1,B,740846292,heuristic,random,D002,D001,0,heuristic,D002,9,121,finished,
heuristic_vs_random,2,A,80692934,heuristic,random,D001,D002,0,heuristic,D001,10,89,finished,
heuristic_vs_random,2,B,80692934,heuristic,random,D002,D001,0,heuristic,D002,9,120,finished,
heuristic_vs_random,3,A,82771681,heuristic,random,D001,D002,0,heuristic,D001,11,145,finished,
heuristic_vs_random,3,B,82771681,heuristic,random,D002,D001,0,heuristic,D002,10,152,finished,
heuristic_vs_random,4,A,1532757256,heuristic,random,D001,D002,0,heuristic,D001,7,90,finished,
heuristic_vs_random,4,B,1532757256,heuristic,random,D002,D001,0,heuristic,D002,6,79,finished,
heuristic_vs_random,5,A,1793288907,heuristic,random,D001,D002,0,heuristic,D001,9,80,finished,
heuristic_vs_random,5,B,1793288907,heuristic,random,D002,D001,0,heuristic,D002,8,102,finished,
heuristic_vs_random,6,A,1480881403,heuristic,random,D001,D002,0,heuristic,D001,7,96,finished,
heuristic_vs_random,6,B,1480881403,heuristic,random,D002,D001,0,heuristic,D002,7,99,finished,
