pairing,deck,wins,games,win_rate,ci_low,ci_high
heuristic_vs_heuristic,D001,171,200,0.855,0.7995133246921847,0.8971064935799559
heuristic_vs_heuristic,D002,29,200,0.145,0.10289350642004402,0.20048667530781522
heuristic_vs_random,D001,186,200,0.93,0.8859451911438936,0.9578478281716571
heuristic_vs_random,D002,14,200,0.07,0.042152171828342806,0.11405480885610647
random_vs_heuristic,D001,176,200,0.88,0.8276574790170326,0.9180200729362449
random_vs_heuristic,D002,24,200,0.12,0.08197992706375512,0.17234252098296743
random_vs_random,D001,185,200,0.925,0.8799563897637055,0.954025082815618
random_vs_random,D002,15,200,0.075,0.04597491718438201,0.12004361023629456
