game_id,player_index,deck_id,won,combat_damage_leader,combat_damage_unit,effect_damage_leader,effect_damage_unit,total_leader_damage,total_unit_damage,total_damage,leader_healing,unit_healing,total_healing,lifesteal_healing,effect_healing,max_health_sync_healing,transform_max_health_sync_healing,overheal,blocked_combat_damage
cf2b9a50fb4d4ba8a42ab87dfd8b3e00,0,D001,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cf2b9a50fb4d4ba8a42ab87dfd8b3e00,1,D002,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37a394004c1d4e1799bc3491f049939e,0,D001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37a394004c1d4e1799bc3491f049939e,1,D002,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e4bd30409f44eadb083164788c30778,0,D001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e4bd30409f44eadb083164788c30778,1,D002,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36e628dd045b4bdd9563b3857f212de1,0,D001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36e628dd045b4bdd9563b3857f212de1,1,D002,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2be09f7777f2434eb73221891160e1de,0,D001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2be09f7777f2434eb73221891160e1de,1,D002,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1421ab6aa06c48cebb9b69e5436c36dd,0,D001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1421ab6aa06c48cebb9b69e5436c36dd,1,D002,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47d6a21a0dd2411f8125fa7f0b5cfe2c,0,D001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47d6a21a0dd2411f8125fa7f0b5cfe2c,1,D002,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219b01ac2d614c79ab6a57b2084615b8,0,D001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219b01ac2d614c79ab6a57b2084615b8,1,D002,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0e9879cca27e4fc4815d82d779de0248,0,D001,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
